Дата проводки,Счёт (наименование + ИНН),Сумма по дебету (RUB),Сумма по кредиту (RUB),Банк (условный БИК + наименование),Назначение платежа (детали),Риск,Причины_оценки_риска,Примечание
2025-08-22 18:53:09,"ООО КОНСАЛТИНГ ПРО, ИНН: 1827002708","257,190.86",,"Промсвязьбанк, г. Москва (БИК: 044525000)",Оплата по договор №763/2025 от 03.06.2025; счет-фактура №3128; ТТН №158; назнач.: оплата поставки; дата/время проводки 22.08.2025 18:53; счет-фактура №3128; ТТН №158,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-22 19:23:01,"ООО АГРОСНАБ, ИНН: 2301001101",,"399,946.21","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №993/2025 от 08.07.2025; счет-фактура №9380; ТТН №217; назнач.: оплата поставки; дата/время проводки 22.08.2025 19:23; счет-фактура №9380; ТТН №217,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-22 20:22:24,"ООО ЭНЕРГОСЕРВИС, ИНН: 1726002607","1,022,739.51",,"Промсвязьбанк, г. Москва (БИК: 044525000)",Оплата по договор №697/2025 от 15.08.2025; счет-фактура №3071; ТТН №103; назнач.: оплата поставки; дата/время проводки 22.08.2025 20:22; счет-фактура №3071; ТТН №103,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 08:09:48,"ООО СЛЕД-ИНВЕСТ, ИНН: 2534003405","194,746.79",,"Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Оплата по договор №481/2025 от 03.08.2025; счет-фактура №9896; ТТН №739; назнач.: оплата поставки; дата/время проводки 23.08.2025 08:09; счет-фактура №9896; ТТН №739,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 08:09:51,"ООО ЭКСПОРТПРО, ИНН: 5907008007","527,157.55",,"Сбербанк, г. Ростов-на-Дону, Южный филиал (БИК: 041806647)",Оплата по договор №275/2025 от 01.06.2025; счет-фактура №2458; ТТН №133; назнач.: оплата поставки; дата/время проводки 23.08.2025 08:09; счет-фактура №2458; ТТН №133,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 08:45:51,"ИП НИКОЛАЕВА С.А., ИНН: 3402001202",,"138,678.84","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)","Перечисление заработной платы, период: 08.2025; ведомость №91; дата 23.08.2025 08:45",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 08:49:15,"ООО ПРОВАЙДЕР, ИНН: 2635003506","107,067.24",,"Альфа-Банк, г. Москва (БИК: 044030653)",Оплата коммунальных услуг и интернет; период: 08.2025; дата/время 23.08.2025 08:49,Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 09:19:10,"ООО НОВЫЙ МАРКЕТ, ИНН: 1625002506","294,088.88",,"ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №598/2025 от 25.06.2025; счет-фактура №8181; ТТН №404; назнач.: оплата поставки; дата/время проводки 23.08.2025 09:19; сопроводительные документы отсутствуют,Средний,no_docs_amount_over_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 09:26:43,"ООО ЛОГИСТИК ГРУПП, ИНН: 5604001404","2,434,265.97",,"Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №194/2025 от 03.06.2025; счет-фактура №6290; ТТН №731; назнач.: оплата поставки; дата/время проводки 23.08.2025 09:26; счет-фактура №6290; ТТН №731,Высокий,very_large_amount,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 09:29:12,"ООО КРИПТОТРЕЙД, ИНН: 1209001010",,"1,417,254.39","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Перечисление контрагенту ООО КРИПТОТРЕЙД; назнач.: оплата услуг; документы: не указаны; дата 23.08.2025 09:29,Высокий,crypto_large,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 10:11:18,"ИП ВАСИЛЬЕВА Н.К., ИНН: 1524002405","118,822.91",,"Промсвязьбанк, г. Москва (БИК: 044525000)","Перечисление заработной платы, период: 08.2025; ведомость №27; дата 23.08.2025 10:11",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 11:28:59,"ООО КОНСАЛТИНГ ПРО, ИНН: 1827002708","177,575.91",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Аванс по договор №864/2025 от 27.07.2025; счет-фактура №5090; назнач.: аванс; дата/время 23.08.2025 11:28; счет-фактура №5090; ТТН №540,Средний,advance_mention,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 12:47:43,"ООО РЕГИОНАЛ ЛОГИСТИК, ИНН: 1928002809","1,956,362.07",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №893/2025 от 07.08.2025; счет-фактура №1254; ТТН №902; назнач.: оплата поставки; дата/время проводки 23.08.2025 12:47; счет-фактура №1254; ТТН №902,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 12:59:46,"ООО ЭНЕРГОСЕРВИС, ИНН: 1726002607","76,801.03",,"Промсвязьбанк, г. Москва (БИК: 044525000)",Оплата по договор №847/2025 от 02.06.2025; счет-фактура №5622; ТТН №704; назнач.: оплата поставки; дата/время проводки 23.08.2025 12:59; счет-фактура №5622; ТТН №704,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 13:18:11,"ИП КОРОЛЁВ А.М., ИНН: 2332003203","123,939.08",,"Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №755/2025 от 21.08.2025; счет-фактура №5636; ТТН №686; назнач.: оплата поставки; дата/время проводки 23.08.2025 13:18; счет-фактура №5636; ТТН №686,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 13:18:27,"ООО СЕКЬЮРИТИ, ИНН: 4503001303",,"52,582.56","Альфа-Банк, г. Москва (БИК: 044030653)",Оплата по договор №957/2025 от 24.07.2025; счет-фактура №3353; ТТН №428; назнач.: оплата поставки; дата/время проводки 23.08.2025 13:18; счет-фактура №3353; ТТН №428,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 13:46:28,"ООО АЛЬФАМЕД, ИНН: 7803004003","103,579.44",,"Альфа-Банк, г. Москва (БИК: 044030653)",Оплата по договор №143/2025 от 14.08.2025; счет-фактура №1938; ТТН №324; назнач.: оплата поставки; дата/время проводки 23.08.2025 13:46; счет-фактура №1938; ТТН №324,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 14:07:17,"ООО НЕОТЕК, ИНН: 1120002001","1,613,614.81",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №513/2025 от 09.08.2025; счет-фактура №5314; ТТН №100; назнач.: оплата поставки; дата/время проводки 23.08.2025 14:07; счет-фактура №5314; ТТН №100,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 14:11:08,"ООО РЕГИОНАЛ ЛОГИСТИК, ИНН: 1928002809",,"56,985.65","ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №114/2025 от 14.08.2025; счет-фактура №8907; ТТН №671; назнач.: оплата поставки; дата/время проводки 23.08.2025 14:11; счет-фактура №8907; ТТН №671,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 14:44:38,"ООО БИЗНЕСХАУС, ИНН: 1019001909",,"17,515.53","Россельхозбанк, г. Москва (БИК: 044525100)",Оплата коммунальных услуг и интернет; период: 08.2025; дата/время 23.08.2025 14:44,Без риска,utilities_or_salary_small,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 15:43:42,"ООО РЕГИОНАЛ ЛОГИСТИК, ИНН: 1928002809",,"1,046,847.21","ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №102/2025 от 20.06.2025; счет-фактура №4630; ТТН №939; назнач.: оплата поставки; дата/время проводки 23.08.2025 15:43; счет-фактура №4630; ТТН №939,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 16:01:46,"ИП КОРОЛЁВ А.М., ИНН: 2332003203",,"7,798.11","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №700/2025 от 02.07.2025; счет-фактура №6187; ТТН №839; назнач.: оплата поставки; дата/время проводки 23.08.2025 16:01; счет-фактура №6187; ТТН №839,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 16:04:01,"ИП ЛЕВИН Д.Б., ИНН: 8907001707","206,040.63",,"Промсвязьбанк, г. Москва (БИК: 044525000)","Перечисление заработной платы, период: 08.2025; ведомость №6; дата 23.08.2025 16:04",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 16:05:21,"ООО КРИПТОТРЕЙД, ИНН: 1209001010",,"892,375.38","Россельхозбанк, г. Москва (БИК: 044525100)",Перечисление контрагенту ООО КРИПТОТРЕЙД; назнач.: оплата услуг; документы: не указаны; дата 23.08.2025 16:05,Высокий,crypto_large,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 16:30:21,"ИП ПЕТРОВ И.А., ИНН: 5002003002",,"85,043.82","Россельхозбанк, г. Москва (БИК: 044525100)","Перечисление заработной платы, период: 08.2025; ведомость №64; дата 23.08.2025 16:30",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 16:50:01,"ООО МАРКЕТПЛЮС, ИНН: 4405006005",,"110,898.54","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №515/2025 от 24.07.2025; счет-фактура №4935; ТТН №200; назнач.: оплата поставки; дата/время проводки 23.08.2025 16:50; счет-фактура №4935; ТТН №200,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 17:02:25,"ООО ИНЖИНЕРОВАНИЕ, ИНН: 1221002102","2,950,746.47",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №217/2025 от 18.06.2025; счет-фактура №1270; ТТН №677; назнач.: оплата поставки; дата/время проводки 23.08.2025 17:02; счет-фактура №1270; ТТН №677,Высокий,very_large_amount,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 17:58:40,"ООО АЛЬФАМЕД, ИНН: 7803004003",,"699,982.66","Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №328/2025 от 06.06.2025; счет-фактура №3513; ТТН №882; назнач.: оплата поставки; дата/время проводки 23.08.2025 17:58; счет-фактура №3513; ТТН №882,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 18:22:46,"ООО ТРАНСЛАЙН, ИНН: 1322002203",,"258,424.07","Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Аванс по договор №277/2025 от 24.06.2025; счет-фактура №8035; назнач.: аванс; дата/время 23.08.2025 18:22; счет-фактура №8035; ТТН №881,Средний,advance_mention,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 18:52:53,"ИП ЛЕВИН Д.Б., ИНН: 8907001707","137,018.49",,"Альфа-Банк, г. Москва (БИК: 044030653)","Перечисление заработной платы, период: 08.2025; ведомость №71; дата 23.08.2025 18:52",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 19:05:35,"ООО ТЕХНОКОМФОРТ, ИНН: 7701001001",,"96,051.91","Альфа-Банк, г. Москва (БИК: 044030653)",Оплата по договор №609/2025 от 25.06.2025; счет-фактура №4503; ТТН №441; назнач.: оплата поставки; дата/время проводки 23.08.2025 19:05; счет-фактура №4503; ТТН №441,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 19:27:37,"ООО СТРАНАIT, ИНН: 2231003102",,"107,019.86","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №546/2025 от 20.06.2025; счет-фактура №8222; ТТН №110; назнач.: оплата поставки; дата/время проводки 23.08.2025 19:27; счет-фактура №8222; ТТН №110,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 19:30:20,"ООО СЕКЬЮРИТИ, ИНН: 4503001303",,"185,023.24","ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №864/2025 от 23.08.2025; счет-фактура №2092; ТТН №297; назнач.: оплата поставки; дата/время проводки 23.08.2025 19:30; счет-фактура №2092; ТТН №297,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 19:51:37,"ООО ПРОВАЙДЕР, ИНН: 2635003506","2,926.94",,"Сбербанк, г. Ростов-на-Дону, Южный филиал (БИК: 041806647)",Оплата коммунальных услуг и интернет; период: 08.2025; дата/время 23.08.2025 19:51,Без риска,utilities_or_salary_small,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 20:28:59,"ООО ТЕХНОКОМФОРТ, ИНН: 7701001001","105,181.35",,"ВТБ, г. Москва, Головной офис (БИК: 040349700)",Оплата по договор №320/2025 от 21.08.2025; счет-фактура №4071; ТТН №440; назнач.: оплата поставки; дата/время проводки 23.08.2025 20:28; счет-фактура №4071; ТТН №440,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 20:29:01,"ООО ЭНЕРГОСЕРВИС, ИНН: 1726002607","1,038,243.74",,"Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №368/2025 от 28.07.2025; счет-фактура №1896; ТТН №556; назнач.: оплата поставки; дата/время проводки 23.08.2025 20:29; сопроводительные документы отсутствуют,Средний,amount_over_med,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-23 20:54:50,"ИП НИКОЛАЕВА С.А., ИНН: 3402001202","136,509.08",,"Промсвязьбанк, г. Москва (БИК: 044525000)","Перечисление заработной платы, период: 08.2025; ведомость №59; дата 23.08.2025 20:54",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 08:07:19,"ООО СТРАНАIT, ИНН: 2231003102","314,325.31",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №659/2025 от 20.08.2025; счет-фактура №9433; ТТН №854; назнач.: оплата поставки; дата/время проводки 24.08.2025 08:07; счет-фактура №9433; ТТН №854,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 08:22:49,"ООО СЛЕД-ИНВЕСТ, ИНН: 2534003405",,"2,995,546.80","Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)",Оплата по договор №440/2025 от 05.07.2025; счет-фактура №6973; ТТН №955; назнач.: оплата поставки; дата/время проводки 24.08.2025 08:22; счет-фактура №6973; ТТН №955,Высокий,very_large_amount,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 08:57:35,"ООО БЛЭКХОЛД, ИНН: 2029002900","72,836.79",,"Промсвязьбанк, г. Москва (БИК: 044525000)",Оплата по договор №480/2025 от 27.07.2025; счет-фактура №5742; ТТН №261; назнач.: оплата поставки; дата/время проводки 24.08.2025 08:57; сопроводительные документы отсутствуют,Средний,no_docs_amount_over_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 08:58:46,"ИП НИКОЛАЕВА С.А., ИНН: 3402001202",,"84,038.94","Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)","Перечисление заработной платы, период: 08.2025; ведомость №82; дата 24.08.2025 08:58",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 09:16:39,"ООО РАПИДДЕВ, ИНН: 6705001505",,"433,067.39","Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №231/2025 от 06.08.2025; счет-фактура №6451; ТТН №917; назнач.: оплата поставки; дата/время проводки 24.08.2025 09:16; счет-фактура №6451; ТТН №917,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 09:25:36,"ИП СИДОРОВ В.П., ИНН: 6606007006","155,472.06",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)","Перечисление заработной платы, период: 08.2025; ведомость №50; дата 24.08.2025 09:25",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 09:44:03,"ООО ПРОВАЙДЕР, ИНН: 2635003506","83,350.58",,"Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Оплата коммунальных услуг и интернет; период: 08.2025; дата/время 24.08.2025 09:44,Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 09:47:50,"ООО СБОРКА, ИНН: 7806001606","349,740.83",,"Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №162/2025 от 06.06.2025; счет-фактура №3339; ТТН №441; назнач.: оплата поставки; дата/время проводки 24.08.2025 09:47; сопроводительные документы отсутствуют,Средний,no_docs_amount_over_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 10:02:44,"ООО ФИНАНС СОЛЮШН, ИНН: 9008001808","2,137,431.60",,"Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Аванс по договор №429/2025 от 25.07.2025; счет-фактура №9445; назнач.: аванс; дата/время 24.08.2025 10:02; счет-фактура №9445; ТТН №699,Высокий,very_large_amount,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 10:03:59,"ИП ЛЕВИН Д.Б., ИНН: 8907001707","122,658.48",,"Промсвязьбанк, г. Москва (БИК: 044525000)",Оплата по договор №152/2025 от 08.07.2025; счет-фактура №4544; ТТН №576; назнач.: оплата поставки; дата/время проводки 24.08.2025 10:03; счет-фактура №4544; ТТН №576,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 10:47:31,"ООО ЭНЕРГОСЕРВИС, ИНН: 1726002607","160,623.62",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №940/2025 от 27.07.2025; счет-фактура №8412; ТТН №213; назнач.: оплата поставки; дата/время проводки 24.08.2025 10:47; счет-фактура №8412; ТТН №213,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 12:09:36,"ООО НЕОТЕК, ИНН: 1120002001","151,927.74",,"Промсвязьбанк, г. Москва (БИК: 044525000)",Оплата по договор №859/2025 от 15.08.2025; счет-фактура №8951; ТТН №296; назнач.: оплата поставки; дата/время проводки 24.08.2025 12:09; счет-фактура №8951; ТТН №296,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 12:12:17,"ООО БЛЭКХОЛД, ИНН: 2029002900","2,972,357.85",,"Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)",Аванс по договор №227/2025 от 04.08.2025; счет-фактура №4030; назнач.: аванс; дата/время 24.08.2025 12:12; счет-фактура №4030; ТТН №489,Высокий,very_large_amount,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 12:21:50,"ООО ИНЖИНЕРОВАНИЕ, ИНН: 1221002102","1,725,990.56",,"Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)",Оплата по договор №552/2025 от 23.07.2025; счет-фактура №5551; ТТН №643; назнач.: оплата поставки; дата/время проводки 24.08.2025 12:21; счет-фактура №5551; ТТН №643,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 13:05:45,"ООО СТРАНАIT, ИНН: 2231003102","397,448.63",,"Сбербанк, г. Москва, Центральный офис (БИК: 044525225)",Оплата по договор №171/2025 от 20.08.2025; счет-фактура №2367; ТТН №353; назнач.: оплата поставки; дата/время проводки 24.08.2025 13:05; счет-фактура №2367; ТТН №353,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 13:58:47,"ООО МАЛЫЙ БИЗНЕС, ИНН: 2433003304",,"190,813.94","Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)",Аванс по договор №705/2025 от 09.07.2025; счет-фактура №5107; назнач.: аванс; дата/время 24.08.2025 13:58; счет-фактура №5107; ТТН №505,Средний,advance_mention,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 14:23:37,"ООО СЕРВИСПРО, ИНН: 1423002304","133,540.60",,"Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №276/2025 от 28.06.2025; счет-фактура №9889; ТТН №322; назнач.: оплата поставки; дата/время проводки 24.08.2025 14:23; счет-фактура №9889; ТТН №322,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 14:25:08,"ООО ЛОГИСТИК ГРУПП, ИНН: 5604001404","798,449.31",,"Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Оплата по договор №385/2025 от 26.08.2025; счет-фактура №3880; ТТН №497; назнач.: оплата поставки; дата/время проводки 24.08.2025 14:25; сопроводительные документы отсутствуют,Средний,amount_over_med,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 15:00:19,"ООО РЕГИОНАЛ ЛОГИСТИК, ИНН: 1928002809",,"279,528.24","Сбербанк, г. Екатеринбург, Уральский филиал (БИК: 045004641)",Аванс по договор №630/2025 от 15.07.2025; счет-фактура №3153; назнач.: аванс; дата/время 24.08.2025 15:00; счет-фактура №3153; ТТН №142,Средний,advance_mention,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 15:07:27,"ООО СБОРКА, ИНН: 7806001606","404,219.84",,"Альфа-Банк, г. Москва (БИК: 044030653)",Аванс по договор №535/2025 от 06.07.2025; счет-фактура №9372; назнач.: аванс; дата/время 24.08.2025 15:07; счет-фактура №9372; ТТН №968,Средний,advance_mention,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 15:28:30,"ООО РЕГИОНАЛ ЛОГИСТИК, ИНН: 1928002809","119,415.78",,"Сбербанк, г. Новосибирск, Сибирский филиал (БИК: 047501602)",Оплата по договор №771/2025 от 27.06.2025; счет-фактура №2844; ТТН №449; назнач.: оплата поставки; дата/время проводки 24.08.2025 15:28; счет-фактура №2844; ТТН №449,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 15:28:36,"ООО КОНСАЛТИНГ ПРО, ИНН: 1827002708",,"501,772.35","Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)",Оплата по договор №915/2025 от 07.07.2025; счет-фактура №3534; ТТН №127; назнач.: оплата поставки; дата/время проводки 24.08.2025 15:28; сопроводительные документы отсутствуют,Средний,amount_over_med,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 16:07:39,"ООО НЕОТЕК, ИНН: 1120002001",,"271,930.42","Сбербанк, г. Ростов-на-Дону, Южный филиал (БИК: 041806647)",Оплата по договор №164/2025 от 03.06.2025; счет-фактура №1588; ТТН №616; назнач.: оплата поставки; дата/время проводки 24.08.2025 16:07; счет-фактура №1588; ТТН №616,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 16:57:05,"ООО СЕКЬЮРИТИ, ИНН: 4503001303","408,790.86",,"Альфа-Банк, г. Москва (БИК: 044030653)",Оплата по договор №218/2025 от 24.07.2025; счет-фактура №8346; ТТН №414; назнач.: оплата поставки; дата/время проводки 24.08.2025 16:57; счет-фактура №8346; ТТН №414,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 17:26:05,"ООО ЭКСПОРТПРО, ИНН: 5907008007",,"1,833,967.40","Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №373/2025 от 20.08.2025; счет-фактура №3884; ТТН №448; назнач.: оплата поставки; дата/время проводки 24.08.2025 17:26; счет-фактура №3884; ТТН №448,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 17:28:46,"ООО ТРАНСЛАЙН, ИНН: 1322002203",,"1,958,345.72","Газпромбанк, г. Москва (БИК: 044525545)",Оплата по договор №505/2025 от 12.08.2025; счет-фактура №5578; ТТН №536; назнач.: оплата поставки; дата/время проводки 24.08.2025 17:28; счет-фактура №5578; ТТН №536,Средний,amount_over_med;has_docs_and_contract,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 17:37:13,"ИП КОРОЛЁВ А.М., ИНН: 2332003203","213,500.79",,"Сбербанк, г. Санкт-Петербург, Северо-Западный филиал (БИК: 046577674)","Перечисление заработной платы, период: 08.2025; ведомость №66; дата 24.08.2025 17:37",Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 18:47:39,"ООО БИЗНЕСХАУС, ИНН: 1019001909","70,175.46",,"Газпромбанк, г. Москва (БИК: 044525545)",Оплата коммунальных услуг и интернет; период: 08.2025; дата/время 24.08.2025 18:47,Низкий,default_low,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
2025-08-24 18:59:20,"ООО СТРОЙПРОЕКТ, ИНН: 5404005004",,"283,326.23","Россельхозбанк, г. Москва (БИК: 044525100)",Оплата по договор №349/2025 от 10.06.2025; счет-фактура №4891; ТТН №543; назнач.: оплата поставки; дата/время проводки 24.08.2025 18:59; счет-фактура №4891; ТТН №543,Низкий,supplier_with_docs_amount_ok,TEST DATA — НЕ РЕАЛЬНО. Использовать только для обучения/тестирования.
